judul,judul_slug,author,penerbit,isbn,bahasa,jumlah_halaman,isBestSeller,original_rating,adjusted_rating,rating_count,review_count,kategori
The Sacred Romance of King Sulaiman & Queen Sheba,conf-the-sacred-romance-of-king-sulaiman-queen-sheba,Waheeda El Humayra;Waheeda El-Humayra,Mizan,9789791738545,Indonesia,258,0,3.76,4,147,,fiksi_sastra
Through The Looking Glass,conf-through-the-looking-glass-single-edition,-;Lewis Carroll,Serambi Ilmu Semesta,9789790244795,Indonesia,186,0,4.03,4,128860,4026.0,fiksi_sastra
The Story Girl,conf-the-story-girl,Lucy M. Montgomery,Mizan,9789791227995,Indonesia,370,0,3.98,4,10574,,fiksi_sastra
Sahara,conf-sahara,Nugraha Wasistha,Serambi Ilmu Semesta,9789790241732,Indonesia,338,0,3.46,3,37,,fiksi_sastra
Sepotong Bibir Paling Indah di Dunia,conf-sepotong-bibir-paling-indah-di-dunia,Agus Noor,Mizan,9789791227889,Indonesia,178,0,3.86,4,378,54.0,fiksi_sastra
Perkara Mengirim Senja,conf-perkara-mengirim-senja,Jia Effendi; Dkk;Jia Effendi; Dkk,Serambi Ilmu Semesta,9789790245020,Indonesia,218,0,3.41,3,241,,fiksi_sastra
Lampuki,conf-lampuki,Arafat Nur,Serambi Ilmu Semesta,9789790243545,Indonesia,436,0,3.73,4,178,38.0,fiksi_sastra
Ketika Cinta Bertasbih (2),conf-ketika-cinta-bertasbih-2,Habiburrahman El Sirajy,Republika Penerbit,9789791102131,Indonesia,418,0,3.77,4,5579,,fiksi_sastra
Cinta Tak Pernah Mati,conf-cinta-tak-pernah-mati,Akutaqawa; Balzac; Tolstoy Dkk;Akutaqawa; Balzac; Tolstoy Dkk,Serambi Ilmu Semesta,9789790243576,Indonesia,230,0,3.79,4,73,,fiksi_sastra
Arumdalu,conf-arumdalu,Junaedi Sutiyono,Serambi Ilmu Semesta,9789790242104,Indonesia,378,0,3.45,3,38,8.0,fiksi_sastra
A Tale Dark and Grimm,conf-a-tale-dark-and-grimm,Adam Gidwitz;Adam Giduitz,Serambi Ilmu Semesta,9789790244771,Indonesia,248,0,4.07,4,24302,,fiksi_sastra
Misteri Kastil Cinta,conf-misteri-kastil-cinta,V.Lestari;V Lestari,Gramedia Pustaka Utama,9789792270419,Indonesia,507,0,2.94,3,35,,fiksi_sastra
Silver Girl,conf-silver-girl,Christina Juzwar,Gramedia Pustaka Utama,9786020325828,Indonesia,232,0,3.4,3,15,,fiksi_sastra
Alice on Border Road 4,alice-on-border-road-4,Haro Aso,Elex Media Komputindo,9786020439501,Indonesia,200,0,3.45,3,22,,novel_grafis
Nisekoi : False Love 10,nisekoi-false-love-10,Naoshi Komi,Elex Media Komputindo,9786020441115,Indonesia,192,0,4.09,4,765,,novel_grafis
Shisho Series 03,shisho-series-03,Uni;Shuu Katayama,Elex Media Komputindo,9786020448183,Indonesia,184,0,4.0,4,7,,novel_grafis
God`s Life Is Tough 3,god-s-life-is-tough-3,Yu Toyota,Elex Media Komputindo,9786020448206,Indonesia,168,0,3.7,4,10,,novel_grafis
God`s Life Is Tough 2,god-s-life-is-tough-2,Yu Toyota,Elex Media Komputindo,9786020446684,Indonesia,168,0,3.78,4,9,,novel_grafis
Nanoha Sweet Bakery 6,nanoha-sweet-bakery-6,Wakaki Tamiki,Elex Media Komputindo,9786020447186,Indonesia,200,0,3.8,4,5,,novel_grafis
Handa Kun 6,handa-kun-6,Satsuki Yoshino,Elex Media Komputindo,9786020448176,Indonesia,170,0,3.95,4,163,,novel_grafis
SM: The Scissor Woman,sm-the-scissor-woman,Hana Umeno,Elex Media Komputindo,9786020447780,Indonesia,168,0,3.16,3,31,,novel_grafis
Coffee Master 1,coffee-master-1,Yukie Fukuda,Elex Media Komputindo,9786020439839,Indonesia,192,0,3.28,3,18,,novel_grafis
Miss Otomurai ~of The Funeral Service~ 02,miss-otomurai-of-the-funeral-service-02,Noriko Ohtani,Elex Media Komputindo,9786020446042,Indonesia,192,0,4.12,4,16,,novel_grafis
Alice On Border Road 3,alice-on-border-road-3,Haro Aso,Elex Media Komputindo,9786020425184,Indonesia,200,0,3.5,3,24,,novel_grafis
Nanoha Sweet Bakery 5,nanoha-sweet-bakery-5,Wakaki Tamiki,Elex Media Komputindo,9786020445090,Indonesia,200,0,4.0,4,8,,novel_grafis
